1,2,3,4,5,6,7,OC
8836,8822,10030,8919,22223,13879,10683,74.5
8054,8448,9783,10078,15106,12834,10582,10.5
8487,8973,10042,10879,13852,14184,11984,11.4
8129,8018,8838,7809,17577,11069,9071,9.5
8135,8751,10651,11286,14526,13752,11729,8.6
7830,8119,9912,8603,22292,12535,9873,11.7
8319,8779,10247,10270,15689,13597,11289,12.3
8064,8301,9492,8709,18034,12078,9652,15.5
31937,33763,33897,35242,37756,30350,27237,27.5
7648,8117,9633,9808,15331,12208,10289,11.2
7751,7350,7831,6635,9734,9625,9340,6.1
7612,8013,9458,9877,12456,11360,10044,10
11684,11505,11588,11212,14133,13701,13364,15.3
7993,8155,9033,8562,15051,12046,9997,16.6
8501,8439,10051,8791,11930,12881,12177,11.4
7925,8361,9475,8795,19009,11876,9936,12.1
8687,8599,9799,9236,13275,12511,11101,24.5
7955,8176,9346,8390,19049,11923,9665,9
7612,8114,9844,9337,20318,12943,10142,22.8
8529,8831,10058,10148,15727,12916,10811,12.6
10012,9898,10544,9525,14690,13257,12507,10.9
27545,26962,24430,24614,25983,20150,17793,31.9
23351,24437,25546,25376,26536,22493,20051,26.1
8035,8598,9861,10246,15077,15307,12553,29.9
14733,15220,16808,15743,20106,18553,17227,38
8626,8744,10002,10048,12681,13509,12434,16.3
18656,18190,18810,17864,22063,18680,17257,14.4
11108,11675,15119,14255,17802,17487,16242,24.8
7574,7597,7843,7517,9704,8884,8143,17.6
8138,8354,8841,8946,9703,9756,9199,33.9
20124,18616,16458,15978,17804,16834,15366,18.6
10411,9998,10673,10094,13417,13640,12497,11.4
10799,10080,11436,11654,18152,16814,15401,13.1
8189,8902,10531,11371,14546,13803,11874,9.7
16884,15964,17481,16607,20514,18609,17131,10.4
11779,10779,10966,11645,20161,16347,15061,15.2
7160,7043,9182,8927,13735,13775,12176,24.7
44281,46110,46952,48683,49252,38786,32393,18
9449,9608,11332,11039,16615,14645,12659,14.3
7977,8264,9154,9273,16577,13509,10979,22.4
13277,14048,16209,17719,23842,23123,19474,11.4
7987,8183,9301,9621,12626,11799,10378,11
8585,9132,10737,11550,14637,14299,12346,10.3
8271,8413,9910,8807,23649,13772,10564,27.9
41314,43012,42130,43923,44377,34054,30611,18.6
8067,8102,8711,8510,11869,10737,9556,91.6
8083,8252,9380,9131,13760,11764,9831,9.8
39030,38276,35244,34794,33182,22913,18873,40.4
7668,7912,9155,8352,15609,10926,9138,10.9
39864,39221,37838,37337,35348,24866,20875,38.5
7958,8097,8660,8700,13178,11984,9975,36.2
38731,38414,36138,35957,35129,22331,17830,64.5
40351,40916,39565,40292,40346,28214,24157,36.5
26703,26204,25036,23936,25794,19654,17609,19.3
42033,41593,39878,39428,37293,24273,18766,29.8
7907,8109,9152,9527,11686,11403,10106,16.7
7973,8341,9320,9900,13118,11443,9618,16.6
43416,44161,43487,44204,43387,31481,26170,33.6
8028,8176,9444,9509,13601,12332,10423,8.6
8448,8872,9961,10374,13151,12538,10984,15.2
37678,37397,34854,34636,33715,21827,17720,19.5
15088,13146,11347,10670,13206,13893,13556,10
8079,8088,8926,8581,13614,11563,9597,15.6
32895,35181,36331,37602,39141,31998,28874,21
33851,32687,28643,27488,26243,18307,15612,117.4
8174,8332,9671,9088,15987,12823,10572,18.8
24031,24887,25907,26551,30802,24691,22254,17.3
7996,8569,9997,11078,14265,12940,10576,11.9
7970,8124,8397,8350,11658,11055,9691,36.3
51047,52853,52488,53702,52790,36584,29682,31.9
8192,8681,12593,11694,16720,15279,14479,10
8165,8634,10115,10795,13638,12971,11200,22.6
7199,7400,9226,8306,22183,12892,10148,19.5
28044,29047,29433,29985,33457,23180,20699,32
43527,44213,42557,42824,42039,29107,25677,29.2
8412,8897,10608,11102,15312,13815,11713,11.3
8147,8312,9203,9148,11487,11647,11168,51.6
7033,7125,7637,7417,11754,8568,7865,115.9
7363,7379,7638,7278,9399,7727,7512,191.2
30539,32188,32553,33493,36521,27194,24347,16.3
51182,50999,47608,46589,43118,23156,17722,25.9
7647,7472,7454,7079,8114,8005,7780,24.2
39976,39223,35683,34180,32302,19260,14746,16
45983,45150,40582,39116,36240,19342,15223,49.9
42397,42097,38527,37460,35970,21340,16140,26.8
48299,48137,45250,44669,42319,22577,17211,88
24103,22280,20582,17827,19822,15570,13335,20.1
36169,35526,32214,30591,29794,16163,12790,34.3
46145,46872,45489,46009,44835,28438,23096,28.5
51334,51347,47970,47527,44733,23508,17690,43.1
47724,47416,43897,43134,40413,20228,14994,18.8
46676,46869,43136,42643,40585,17515,13238,43.9
